id,name_zh,name_en,lat,lon,open_date,close_date,open_dates_raw,close_dates_raw
Q84032,高鐵雲林站,Yunlin HSR station,23.73638889,120.41638889,2015-01-01,,2015-12-01,
Q118055,西安站,Xi'an railway station,34.2786,108.958,1935-01-01,,1935-01-01,
Q130440,北京丰台站,Beijing Fengtai railway station,39.849772,116.294567,1896-01-01,,1896-01-01,
Q248045,昆山南站,Kunshan South railway station,31.355,120.94638889,2010-01-01,,2010-07-01,
Q250600,莘庄站,Xinzhuang Railway Station,31.1131,121.381,,,,
Q261917,无锡新区站,Wuxi Xinqu railway station,31.499302777,120.38715,,,,
Q370686,内江站,Neijiang railway station,29.5909,105.0339,1953-01-01,,1953-01-01,
Q523887,北京西站,Beijing West railway station,39.8935439,116.3149215,1996-01-01,,1996-01-21,
Q529728,上海站,Shanghai railway station,31.251552777,121.450447222,1987-01-01,,1987-01-01,
Q5443426,豐富車站,Fengfu Station,24.604222222,120.826361111,1903-01-01,,1903-05-25,
Q5443427,奉化站,Fenghua railway station,29.63027778,121.46027778,,,,
Q5443448,仙游站,Xianyou railway station,25.253472222,118.866666666,2015-01-01,,2015-02-04,
Q5443454,豐原車站,Fengyuan railway station,24.25438889,120.72344444,1905-01-01,,1905-05-15,
Q5443455,丰镇站,Fengzhen Railway Station,40.434163888,113.156611111,,,,
Q5506826,福安站,Fu'an railway station,26.83833333,119.71611111,,,,
Q5507075,福鼎站,Fuding railway station,27.2829,120.19,2009-01-01,,2009-09-28,
Q5507936,涪陵北站,Fuling North Railway Station,29.773463888,107.273522222,,,,
Q5508375,福隆車站,Fulong Station,25.01594444,121.94486111,1924-01-01,,1924-11-30,
Q5509436,福清站,Fuqing railway station,25.6757,119.384,,,,
Q5510012,福生庄站,Fushengzhuang Railway Station,40.96628,112.45545,,,,
Q5510947,阜新站,Fuxin railway station,42.055337,121.654537,2018-01-01,,2018-12-29,
Q5511001,抚州东站,Fuzhou East railway station,28.264257,116.611808,,,,
Q5511013,福州南站,Fuzhou South railway station,25.9862,119.39,2010-01-01,,2010-04-26,
Q5521099,刚察站,Gangcha railway station,37.243689,100.098418,,,,
Q5521288,岗秀站,Gangxiu railway station,31.56573,91.92003,,,,
Q5521403,甘隆站,Ganlong railway station,35.992483,94.818365,2006-01-01,,2006-07-01,
Q6648055,齐齐哈尔站,Qiqihar railway station,47.3375,123.99,1909-01-01,,1909-01-01,
Q6673658,龙川站,Longchuan railway station,24.115,115.2325,,,,
Q6673862,深圳坪山站,Shenzhen Pingshan railway station,22.7064,114.34,2013-01-01,,2013-12-28,
Q6674038,龍井車站,Longjing railway station,24.19755556,120.54333333,1920-01-01,,1920-12-15,
Q6674150,龙南站,Longnan railway station,24.92305565,114.87291718,,,,
Q6674578,龙游站,Longyou railway station,29.00555556,119.16069444,,,,
Q6685972,娄底南站,Loudi South railway station,27.66584167,112.00906944,2014-01-01,,2014-12-16,
Q6699602,禄丰站,Lufeng Railway Station,25.18778,102.05737,1966-01-01,,1966-01-01,
Q6699603,陆丰站,Lufeng railway station,22.95036667,115.72861944,,,,
Q6704578,漯河西站,Luohe West railway station,33.574444444,113.9575,2012-01-01,,2012-09-28,
Q6704628,罗田站,Luotian Railway Station,27.33861111,117.5925,,,,
Q6704633,罗文皂站,Luowenzao Railway Station,40.410036874,113.898845648,,,,
Q6704647,罗源站,Luoyuan railway station,26.4558,119.576,,,,
Q6704645,洛阳龙门站,Luoyang Longmen railway station,34.59395,112.45262,2010-01-01,,2010-02-01,
Q6705095,庐山站,Lushan railway station,29.59861111,115.87638889,1910-01-01,,1910-01-01,
Q6729612,马盖图站,Magaitu Railway Station,40.90553,112.69913,,,,
Q5960980,居庸关站,Juyongguan Railway Station,40.3,116.06,1909-01-01,,1909-01-01,
Q5963105,梅道站,May Road,22.2734,114.156,1888-01-01,,1888-05-30,
Q5963125,台州西站,Taizhou West railway station,28.6892,121.286,2009-01-01,,2009-01-01,
Q5963337,青龙桥站,Qinglongqiao railway station,40.350263888,116.0186,1908-01-01,,1908-01-01,
Q5963471,南口站,Nankou railway station,40.238025,116.122833333,1906-01-01,,1906-09-30,
Q5964826,柳州站,Liuzhou Railway Station,24.31,109.384,1941-01-01,,1941-03-01,
Q5964925,二连站,Erlian Railway Station,43.655555555,111.979722222,,,,
Q5965032,桂林站,Guilin Railway Station,25.263611111,110.278055555,1938-01-01,,1938-01-01,
Q5966210,沙河站,Shahe railway station,40.117777777,116.251666666,1905-01-01,,1905-01-01,
Q5968548,沙城站,Shacheng railway station,40.39594444,115.50952778,1909-01-01,,1909-01-01,
Q5969824,无锡站,Wuxi railway station,31.5892,120.301,1906-01-01,,1906-01-01,
Q4765820,安靖站,Anjing railway station,30.74,104.03416667,2017-01-01,,2017-07-01,
Q4765875,安居站,Anju Railway Station,40.989051,112.378079,,,,
Q4770657,鞍山西站,Anshan West railway station,41.1164,122.909,2012-01-01,,2012-12-01,
Q4770681,安顺站,Anshun Railway Station,26.234166,105.939166,,,,
Q4774982,安亭北站,Anting North railway station,31.3149,121.159,,,,
Q4778215,安阳东站,Anyang East railway station,36.083927,114.448108,,,,
Q4840549,八达岭站,Badaling railway station,40.36,116.001666666,1979-01-01,,1979-01-01,
Q4841074,野三关站,Yesanguan railway station,30.665022,110.353657,,,,
Q4843219,白果站,Baiguo railway station,28.813739,102.602431,1970-01-01,,1970-01-01,
Q4848729,白塔站,Baita railway station,40.8696572,111.8454813,1923-01-01,,1923-01-01,
Q4848759,白杨坪站,Baiyangping Railway Station,30.47975,109.62304,,,,
Q4857448,保定东站,Baoding East railway station,38.863331388,115.595833333,,,,
Q4857459,宝鸡南站,Baoji South railway station,34.335637,107.22786,2013-01-01,,2013-12-28,
Q4857483,包头东站,Baotou East railway station,40.569671,110.0246,1923-01-01,,1923-01-01,
Q4857484,包頭站,Baotou railway station,40.605,109.83027778,1956-01-01,,1956-01-01,
Q4857491,堡子湾站,Baoziwan Railway Station,40.3345,113.28007,,,,
Q4860976,白加道站,Barker Road,22.271,114.152,1888-01-01,,1888-05-30,
Q4868403,八苏木站,Basumu Railway Station,40.952892,112.848467,,,,
Q4881048,北戴河站,Beidaihe railway station,39.84972222,119.41361111,1893-01-01,,1893-01-01,
Q4881090,北滘站,Beijiao railway station,22.91792222,113.25848333,2011-01-01,,2011-01-07,
Q4881363,北埔車站,Beipu Station,24.03238889,121.60130556,1975-01-01,,1975-07-26,
Q4881360,北票站,Beipiao railway station,41.766455,120.783338,2018-01-01,,2018-12-29,
Q4887727,蚌埠南站,Bengbu South railway station,33.676586,117.246287,2011-01-01,,2011-07-01,
Q4907220,碧江站,Bijiang railway station,22.9525,113.2571,,,,
Q4907370,毕克齐站,Bikeqi Railway Station,40.722093,111.279903,,,,
Q4917330,璧山站,Bishan railway station,29.506715,106.220832,,,,
Q4985157,不冻泉站,Budongquan railway station,35.536429,93.93134,2006-01-01,,2006-07-01,
Q4997232,布玛德站,Bumade railway station,33.44437,91.93143,,,,
Q4998045,布强格站,Buqiangge railway station,33.251958,91.863489,2006-01-01,,2006-07-01,
Q5032346,苍南站,Cangnan railway station,27.53111111,120.40722222,2009-01-01,,2009-09-28,
Q5032349,沧州站,Cangzhou railway station,38.309021944,116.871938888,,,,
Q5032353,沧州西站,Cangzhou West railway station,38.306313,116.761247,2011-01-01,,2011-06-30,
Q5066580,察尔汗站,Chaerhan railway station,36.79944444,95.29861111,,,,
Q5067524,察汗诺站,Chahannuo Railway Station,37.010092,98.829721,,,,
Q5067772,柴沟堡站,Chaigoubu Railway Station,40.67027778,114.40861111,,,,
Q5071634,長榮大學車站,Chang Jung Christian University Station,22.90722222,120.27277778,2011-01-01,,2011-01-02,
Q5648134,杭州南站,Hangzhou South railway station,30.17444444,120.29,1992-01-01,,1992-01-01,
Q5654429,哈尔滨北站,Harbin North railway station,45.8486,126.5302,2015-01-01,,2015-08-17,
Q5654454,哈尔滨西站,Harbin West railway station,45.706929,126.578014,2012-01-01,,2012-01-01,
Q5695777,鹤壁东站,Hebi East railway station,35.70557222,114.29488056,,,,
Q5701719,和乐站,Hele railway station,18.924975,110.453527777,2024-01-01,,2024-10-15,
Q5714258,横店东站,Hengdian East railway station,30.81666667,114.32027778,2009-01-01,,2009-01-01,
Q5714311,横沥站,Hengli railway station,23.031219,113.954311,,,,
Q5714345,衡山西站,Hengshan West railway station,27.2511,112.7837,2009-01-01,,2009-12-26,
Q5714365,衡水站,Hengshui railway station,37.74388889,115.68527778,1940-01-01,,1940-01-01,
Q5731900,和平站,Heping railway station,24.460277777,114.964444444,,,,
Q5731922,和平車站,Heping Station,24.29880556,121.75477778,1979-01-01,,1979-02-08,
Q5738173,和仁車站,Heren Station,24.24325,121.71213889,1979-01-01,,1979-02-08,
Q5749820,河源站,Heyuan railway station,23.761,114.682,,,,
Q5895800,红海站,Honghai Railway Station,23.12623,113.83948,1975-01-01,2007-01-01,1975-07-01,2007-05-01
Q5895808,红光站,Hongguang Railway Station,42.777110174,93.586421172,1959-01-01,,1959-01-01,
Q5895981,红旗营东站,Hongqiying East Railway Station,47.08508,123.98149,,,,
Q5913174,鲘门站,Houmen railway station,22.81571111,115.12016389,,,,
Q5916925,猴硐車站,Houtong Station,25.08722222,121.82769444,1920-01-01,,1920-01-27,
Q5925135,怀化南站,Huaihua South railway station,27.51527778,109.98861111,2014-01-01,,2014-12-16,
Q5925919,皇姑屯站,Huanggutun railway station,41.8103,123.391,1907-01-01,,1907-01-01,
Q5926056,黄土店站,Huangtudian railway station,40.068611111,116.358055555,1966-01-01,,1966-01-01,
Q5926065,湟源站,Huangyuan Railway Station,36.68301,101.23996,,,,
Q5926126,苏州北站,Suzhou North railway station,31.4236,120.639,2011-01-01,,2011-06-30,
Q5926136,花桥站,Huaqiao railway station,31.3358,121.046,,,,
Q5926243,华山北站,Huashan North railway station,34.58311,110.093047,2010-01-01,,2010-01-01,
Q5926321,花壇車站,Huatan railway station,24.02494444,120.53738889,1905-01-01,,1905-03-26,
Q5934499,西安北站,Xi'an North railway station,34.3766,108.934,2011-01-01,,2011-01-01,
Q5934857,惠安站,Hui'an railway station,25.06055556,118.70944444,2015-01-01,,2015-02-04,
Q986410,长沙南站,Changsha South railway station,28.15027778,113.05888889,2009-01-01,,2009-01-01,
Q986721,福田站,Futian Railway Station,22.54095,114.05195,2015-01-01,,2015-12-30,
Q986802,西宁站,Xining railway station,36.6203,101.812,1959-01-01,,1959-10-01,
Q986869,重庆站,Chongqing railway station,29.55263889,106.54402778,1952-01-01,2022-01-01,1952-01-01,2022-06-20
Q986905,大连站,Dalian railway station,38.921500673,121.627702197,1903-01-01,,1903-01-01,
Q986920,乌鲁木齐南站,Ürümqi South railway station,43.779166666,87.583333333,1962-01-01,,1962-01-01,
Q6122029,集宁南站,Jining South railway station,41.02972222,113.09138889,1921-01-01,,1921-01-01,
